dataset,keras_parallel_3_Dilated_Conv,keras_3_Dilated_Conv,sklearn_MLPClassifier,sklearn_Perceptron,sklearn_SGDClassifier,sklearn_BernoulliNB,sklearn_PassiveAggressiveClassifier,MOA_MajorityClass,MOA_RandomHoeffdingTree,MOA_NaiveBayes,MOA_SPegasos,MOA_OzaBagAdwin,MOA_OzaBoost,MOA_OzaBag,MOA_OCBoost,MOA_SingleClassifierDrift,MOA_WeightedMajorityAlgorithm,MOA_OzaBoostAdwin,MOA_Perceptron,MOA_HoeffdingAdaptiveTree,MOA_HoeffdingOptionTree,MOA_LeveragingBag,MOA_DecisionStump,MOA_OzaBagASHT,MOA_SGD,MOA_AdaHoeffdingOptionTree,MOA_ASHoeffdingTree,MOA_ActiveClassifier,MOA_HoeffdingTree
Adiac,10672.606082506492,184618.11944550977,664.4871076267902,1360.8836408776165,1318.459991721617,445.1171937073723,1232.595860748649,1.0,416.35383404050566,2085.54512780135,4.443251243019406,71816.56313517927,57572.44198270708,37976.02661009288,65052.37286936995,3519.824905588848,15619.755383987285,66479.07778166601,5.068894624032194,6502.64414650861,4712.556632109998,75279.65624863304,49.44196812621203,55818.290334339414,3.48049079217882,5067.923304609014,4355.696295000219,1141.3962643803857,4208.299826487614
ArrowHead,37633.357869862564,142139.79046056984,858.0617005777294,384.3584756033423,343.5251691230237,345.87561904457704,329.27499038293956,1.0,52.11420397432923,240.5599628856413,7.467254310678109,9218.382741823241,5442.7299543802665,4660.376904043917,8205.907098121083,471.90129900255147,2220.392986932652,9864.796218974712,8.550027062553156,893.8593907059458,597.9985308899712,11632.749052810637,23.21166782649037,7649.866349648184,11.571445140338668,611.499690713678,602.9496249903347,248.8913631794633,610.1409185803756
CBF,23249.841722016063,233204.33686785508,821.4673265187456,426.93159780115315,406.49307023147026,408.0309919695896,397.8558303522384,1.0,48.47316397579161,163.1491491016714,5.682938397617105,5091.847853307784,4007.4301921872925,3127.9347170312476,4790.02652298469,315.30794551215166,1420.5985410461212,6855.97138059914,7.7166992354246915,569.330465385418,399.17642148399705,6893.924993834069,16.02061317801514,4173.4029956933355,8.08839097687302,393.99856760705006,454.97216794095885,175.24832571287638,408.0351268284354
Car,6590.173291770549,151938.70771445913,1314.9535781165957,635.7770817421697,1303.2517327449978,1291.6889880613237,881.7070979916226,1.0,100.7886522753792,610.5286610268377,13.322637106184361,16157.748176779462,9998.012106184362,13240.723016336053,20845.675539673277,1158.3052071178527,5934.961274795798,21965.90125437573,6.337587514585763,2531.818042590431,1586.6521295215862,25719.499854142356,46.60990373395565,15145.678821470241,19.647097432905476,1776.7318407234534,1595.506563593932,273.0603850641773,1906.8997228704782
ChlorineConcentration,12482.464160544732,332838.6713401974,880.9731583484537,463.50575536772453,442.62994634530514,437.8435981353874,429.63051443056867,1.0,34.24339758308638,216.099266662959,6.665850964938068,2120.066316153278,1995.8553347687566,2035.447293883032,3004.487814131239,422.8266368988504,1437.0442524808723,3019.9452857472015,8.26674836925864,379.9649658755949,337.5939871129721,6122.510263143259,29.130967798320395,2058.414387071658,10.868575355743946,332.2726913389956,297.50765316256565,221.49895918578142,285.847441265503
CinCECGtorso,16494.272254010782,1177054.5513651571,3263.4714735525044,957.5153268990665,841.0174431855504,1278.5776977860476,829.5696004628239,1.0,177.2939226880956,1434.4230585001146,25.772955411625052,44488.18555630596,28269.2742272826,29426.497793936083,52239.3702141206,2848.151163724753,15459.919614779292,33152.937542953536,5.715737581035289,4940.396142437649,4134.558013679679,61025.51290763093,186.13506228448858,38347.25258018738,29.378740862611163,4814.948729467838,3452.603955741865,1449.9267402318824,3495.5550177169403
Computers,39660.04010418061,581648.225229157,2576.5634797678404,630.8658694319051,522.9671322074047,881.2032271934266,489.59762380968937,1.0,69.44301285850491,450.97387069343154,17.805022289793076,13895.56987141495,7664.945409333367,9639.368077924084,11074.102442858246,952.7841239982478,5866.482206818358,18488.32063802922,9.08580926121576,2339.3393588785525,1472.050210013657,19524.523810137347,59.67119334140747,10538.443051511325,27.173628469090627,1501.140064936738,1089.1226067462055,451.14922565516525,1461.5173422320715
DiatomSizeReduction,23189.708884920554,231511.32860756404,2805.3296541329023,725.9691544865742,959.9448316044903,806.2399861540304,736.7237573183671,1.0,84.40916844810089,409.92356027725594,9.619161754226859,12005.967955777247,9848.788754291638,8054.263760229751,12729.816004836865,796.3367666429142,3921.243657014533,20464.022111377428,6.2199909308803525,1522.1142061281337,1075.330569411155,16845.747878473798,30.771091101466176,10080.040271209866,14.32283906631254,1000.8816911748828,1045.1221739975385,336.62507827513986,941.7623242858068
DistalPhalanxOutlineAgeGroup,38448.960610153015,162750.6416094203,829.6243681027302,469.3963741774866,445.27606313526815,414.91821752880605,414.04228880212,1.0,50.5831077422848,114.3153956222446,3.959819011524481,3805.480025524017,1747.510828370331,2657.7031286255715,3325.406856678785,220.9438084925362,950.6344071467246,2756.132164127157,8.230199551396089,394.25510480315586,266.28051280068075,5121.842215175189,12.03416737566711,3292.6991453322,6.40204192126228,267.04849562997924,268.80501198855296,123.74651945239387,267.3675264908346
DistalPhalanxOutlineCorrect,18641.723913028807,213969.83562056863,901.4737977684259,282.8373175354659,264.4571499076438,468.3993733261746,267.76124683877487,1.0,29.578934746939286,87.9084942572258,4.833282847406286,3048.126328410956,1519.0123942950904,2064.7412470023983,2441.707497160167,167.43869746308218,743.442256720939,2959.9588918339014,9.111460305439858,300.3156253944213,196.93848289789224,5045.340679035719,12.549463587025116,2145.574024990534,6.823854600530103,209.61409819512812,209.70623501199043,86.38437460557869,216.3776852202449
DistalPhalanxTW,24319.8177344561,164091.1830947495,827.630385973745,695.1698786034841,620.7169177957024,463.09271887671684,591.8329268804312,1.0,74.30961856726299,232.19798644495233,4.471077311056821,7568.848451414612,4257.622468279612,4296.386535582,7946.076463866341,449.6693198833635,1888.5606233745766,6395.111947355978,8.403597604224132,781.777405626921,543.0108164551974,9733.747024982269,13.390929151233353,6081.080010245095,5.487489163842699,534.3036685317992,527.294467649145,182.98006147056506,540.700725037434
ECG200,45198.625574904894,78528.41375536684,666.1390288564522,207.92317944903706,193.1122132417084,332.6391102820303,198.70746714225479,1.0,24.351332696187747,81.28475098226612,5.759371349686737,2160.3334395242646,1585.4573112456194,2090.8219178082195,2975.9853456514816,156.03695444409047,735.8922693002017,2191.496442603802,7.128968886057131,280.95640862270363,198.45678029096314,4221.496761176596,11.701284910268665,2504.3513857916532,6.213125199107996,216.0658383774026,200.2382924498248,72.93485186365085,215.46384198789423
ECG5000,9207.316057532436,268647.675732957,853.4821674879744,548.811871349334,540.9512758685523,435.54008722236733,510.1675967842269,1.0,63.832775168117486,265.87180953967476,5.064454331293975,7549.312348835711,5661.247826927399,4994.1677685911445,9117.031959214914,520.3116966389077,2291.6082780275683,9594.232024906061,7.196748131023981,947.0139837280827,637.8996528427136,9717.862865799903,24.344586216488477,6542.4792452118545,8.687200126981931,645.5117654731728,598.9693891823339,274.2909363503067,639.8711777731329
ECGFiveDays,13926.62099106417,217796.24098286554,642.4849854398991,187.80770576103103,182.42554005033512,328.06172613213306,180.23732568789424,1.0,27.809343946908594,105.91735354854654,5.498420318760259,3414.475201652047,2849.9493796000497,2210.683507774856,2694.538335951427,203.62839543216194,946.4278553400287,4519.43059992587,6.91670049596696,373.53687099564047,262.19619817498284,6994.191706232239,15.365806519935752,2993.5675556418446,8.091171435127169,259.9396720617047,262.0294756164287,102.37674073812593,263.84581781598035
Earthquakes,39238.86576057816,427013.696759992,2312.403373877923,471.37794986780654,454.44137325465454,876.8476181999214,548.2698019424586,1.0,35.10578624131632,321.79139039509835,15.876796064838121,6614.732434881413,4856.302141614049,4303.97143555741,8268.81377019,639.1832525493693,2629.7835517137228,25070.515627022596,9.337566700706201,540.4385059041812,687.7240927984811,23016.575387978766,42.70164108907331,5675.066535302832,20.943820386324735,699.5157708516116,680.2296517899522,338.51181555366975,679.4069498180561
ElectricDevices,10057.893075692484,246681.2816830871,969.4465340771354,780.6082980447744,769.1873957048045,515.8760010380931,732.7281587172866,1.0,85.16882720924917,292.13355522391026,4.512036993054965,8963.879317448975,6112.7889844915935,5576.875934961686,9573.95621766781,572.3656510735697,2283.4387109210597,8627.558634566545,8.101155370168053,969.66450354653,672.6686250553714,11874.81727056916,22.71256369780315,7537.150278210133,5.515669687191731,696.4250368129944,659.1522649519304,313.8534771019309,648.183586099325
FaceAll,13529.60754124575,245128.217203084,869.7351898152942,1006.4922429132516,984.2410371475521,515.5049729053488,935.0146626364595,1.0,181.154522555691,697.3044078538279,4.807026850423853,21671.087514184037,18278.698321804597,13612.343965065993,22906.066727325742,1342.1695479727805,5887.7172221422015,23835.562193703867,7.307193721434318,2404.1390861089544,1754.167334736221,25398.050535568116,36.64569595750586,18310.47026007286,4.15863285215931,1783.1595251729311,1604.6552550315998,635.8972952844007,1604.391806106425
FaceFour,77889.44403003917,137499.1972751317,1953.6747553147702,588.7336383861008,546.4663000305552,643.877119551945,596.7112486055249,1.0,81.97622541825655,429.43616084531845,8.603561295372275,12376.012718912043,13199.469230016635,7212.676352607377,13493.026611877509,833.928382741415,3737.332354955484,21519.68848449271,6.429214362586832,1522.4679581254284,996.2062420506801,18066.819880637904,51.14382154388025,13828.681929361119,11.143430192740439,1020.3496722434205,1053.6245964191373,219.59025535661877,1091.931513550533
FacesUCR,10460.089262269215,237974.15746950067,797.5225244646268,944.9784206301296,919.6914783367397,477.5589680059903,867.636540941375,1.0,178.87268159818692,662.0659835757829,4.863169068406933,21540.63808356827,17179.28997003229,12553.99435460199,20330.859537445984,1407.3195076830657,5349.856858100497,23778.667453973285,7.445624645882682,2581.0294762135554,1769.362056372064,23716.281252773206,34.99603729921974,17130.317947860276,4.162979295656388,1794.2179348901977,1594.2490391901208,615.5558361947151,1514.1792635725062
FiftyWords,9864.162190996887,250037.4293102693,3267.2286689863786,4068.3984847651636,3897.61891973428,1593.8804374736471,3214.7838761365033,1.0,677.3641162631683,3222.4560652241944,7.066661258358733,99216.90479446498,89117.31718567108,69250.76347537867,113166.01435905758,6677.198813262717,28270.408810133627,114240.44858437541,7.326914830739279,12484.477273517447,8247.958580087383,137727.7695886982,49.44004890655604,90534.02849212513,4.110132464913602,7856.188945032278,7994.704132719876,965.7037676590913,7875.574008830995
Fish,19459.720293129747,260173.0146317788,3119.6144298325066,856.1322173685659,820.7382337461075,720.0326931001282,792.5017354710609,1.0,142.81164155220696,800.6168655820777,9.794705960794774,23450.4056707561,18253.300623416457,15516.357764368584,28024.40345379384,1599.9213395119352,7426.976463528471,27118.642535671424,5.684624616615549,3241.699343245766,2187.3235431390854,34028.4972162955,42.123983197759706,20425.63775170023,13.055207360981465,2187.640835444726,2138.8643485798107,614.9012368315775,2188.7400820109347
FordA,8705.98774097497,534259.4281171872,1996.8517320142357,509.17917070574913,450.0319372383781,753.8702279053515,453.4162506232616,1.0,41.92609417873802,286.3382772414946,12.320665789276674,6100.614479321843,5572.152458626867,5095.53612832317,8463.989623217778,553.4705920646477,2358.4105718622554,12444.711830551618,5.936621773665933,997.224464642015,685.5259913223019,16219.497211049906,50.57721447845387,5834.245433033192,14.313009060697233,861.5088236283367,527.46262611577,278.63854642590167,547.8055742112442
FordB,9920.852249624702,562769.4650938906,1993.6750894989275,477.84532251178314,511.37338053367824,812.1313827510651,456.00044859250943,1.0,56.344945200566684,297.6330243844125,12.899860362548678,7430.524966871079,4758.184682610941,5143.422548269029,9899.310996004182,559.1133937496344,3351.776960329229,12399.220067605891,6.4244673301777135,1495.0011585584532,990.1431894313017,17134.541502081844,55.442575687822554,6144.696550522561,16.106851900366518,1012.7585225899822,808.0256625148478,296.8105305460104,900.3230673947824
GunPoint,34706.150960445135,79080.71720655536,538.6629482537664,156.31603366290102,146.62376337089708,263.25971759221216,145.07412713234993,1.0,25.677578192704633,97.68502324115653,4.8861577247301655,3070.525250137871,2560.6819506814777,1653.61333018199,2917.3490506578423,184.26234932640034,881.5050027574252,2950.9369337430076,6.158433782399747,338.05388796974705,242.41613487749152,5121.722681793113,13.265855195777197,2937.1456314504053,7.076223115102811,242.14054990939883,243.6162451745056,79.06956590246591,260.5069329551721
Ham,28218.354442524123,181675.6700694166,2682.875881468429,341.09766080247584,658.533499299295,857.5426519955045,324.23310111568014,1.0,45.936384650947765,238.99361997226077,10.581291416242873,7074.36538757898,4377.946771459393,5161.177870241948,8486.832670673448,431.71379257204507,2368.6000308213897,8739.214116196641,5.816335336723686,902.6592695330561,712.1951918631531,12213.295176452459,31.128679303436595,5745.57870241948,15.719895207273849,638.7002003390353,538.287594390507,214.99852057327783,674.111604253352
HandOutlines,25461.81350376468,1581841.580509873,4000.710269211998,842.6609742427707,705.2024055011614,1129.2382068146876,637.4704538296213,1.0,114.59965884276006,1016.0001830351808,37.77525821942359,38063.187733083854,17158.639931666865,24569.35522298515,25480.682169577012,1897.0241835232748,10688.303853653202,39659.13515114384,4.861955883437095,3268.553938179867,2401.1554934704736,55417.46948015467,241.41223844399755,30447.332305455206,60.0781992388787,3009.1366281360665,2367.400801287347,972.6828661275601,2343.61687686054
Haptics,15315.130870176004,614790.0646782542,2490.5950433734943,859.7272139278858,788.2850899467066,974.1688052663707,782.847629337374,1.0,173.02466234277122,1212.1812001331461,18.629974076801258,43563.190046298616,25431.258324171107,26663.232199235412,47204.741907826385,2300.625434995309,14220.857371972683,32495.489998890444,5.152139924752117,5641.259463984909,2993.7385287323855,58594.285145099304,152.10909934536357,36512.042072242,30.286668213316652,3913.9087039409305,3065.3069125167685,1091.6320015332008,3901.8758813383224
Herring,56637.31361802259,163572.09390479742,3237.124506957831,382.4160806486925,748.4111043313968,579.4852512455376,366.8853219519446,1.0,35.28400525551484,294.6471889910795,13.289329921858794,5435.780374801189,5835.167208353502,4778.101030357513,9080.505290090587,557.2645045294241,2124.361593250813,10254.096881266858,6.241407924763156,519.8636332203859,545.5052900905883,7813.6191826291415,39.4327501555909,4683.570015904847,19.498928151580113,512.6587372934099,512.6922066247148,240.7594218933684,333.6086024479635
InlineSkate,16480.048414125606,926855.8929124133,2476.6691521607568,972.5600658241956,861.7916404054314,1280.8848444754196,868.6128697557104,1.0,282.77479013641135,2448.911042978314,25.346876093039526,70824.04765105806,21103.611041885273,47613.636717383684,89666.48453895592,4725.741507082896,25938.011045164392,27690.889499169283,4.722050979363414,9515.065724466596,5881.654839979014,101738.84229625743,177.68004547044418,62604.384023041275,36.68855478314096,7490.497294727177,5585.892499562783,1802.872108910458,6158.530648828261
InsectWingbeatSound,8325.534862697594,306952.2949063673,704.6802402904232,621.3387565928927,601.2552511697176,384.5946940897106,574.7592655797915,1.0,174.50899300031404,801.089418152748,6.438539696108619,23920.10574987402,19693.527052876267,15369.436120279568,28810.274299042,1586.9094367798807,6788.206104211685,24472.433703501436,6.838321236250617,2766.974499824546,1770.0648651643598,33789.231279863445,54.0678940522457,20908.557056807484,5.57755456879243,1949.700272019461,1877.340058625339,810.9853331117075,1953.8459040095831
ItalyPowerDemand,15298.398084024648,114928.29971743142,679.4842983554502,219.1518117880183,209.65861379610146,368.96209869599244,204.23737128802713,1.0,12.594421527465155,24.925381498801066,2.0613705476494526,633.4190377318622,672.7951620164082,683.1795915367443,858.2434426304814,48.03096089005668,217.80953999650885,1854.0814813453744,8.363831800600842,95.91178443135776,89.25698457467823,940.5426240502723,5.362536404310638,715.5473830238774,2.806094793609378,89.24561081150607,67.18313779892874,24.930168034029418,76.84984427682895
LargeKitchenAppliances,25759.808109355392,599134.3772056705,1907.0486381323553,726.1485265971991,750.7884405307349,805.6190471579137,659.9426830924804,1.0,92.57479341579533,566.0888293684374,16.178092876432107,15875.835777514516,7655.277238578082,10606.619870346798,7378.2315214751925,1081.5272367385085,5962.323595852864,13593.598619583372,6.703512115436973,2652.7014665087086,1609.4085768316643,25001.611474529254,64.59051073943533,13981.4361925225,19.055290248048212,1576.335376487296,1274.8960566883247,574.819162478569,2031.8189564462366
Lightning2,57643.03754018234,206933.4506321915,1590.1647369449884,404.141507272592,388.5463254006702,828.7549799496077,385.4237805489243,1.0,59.90368626296814,357.2644397027444,14.883599440806416,7866.574939298067,6382.078802148482,5519.209624015893,9485.806783901111,665.9584283717166,3103.6040762269154,14360.59995585314,5.973291148554191,785.1737179015525,1060.6240158928701,18726.355455816352,64.91538518137003,8282.753219042013,22.780001471562066,1087.6928114193215,1065.5647855198292,280.5663306599956,735.6895739827828
Lightning7,62100.55264415574,144256.6628552203,1622.8180745245472,890.5241837933094,677.1345199966405,694.0736143916411,875.2360732574705,1.0,139.1736029360848,787.7341596842324,9.224153451977012,21991.763451284543,13899.733397964133,13536.51118343605,23133.63382037255,1402.7842254691504,6011.161692403574,24109.543521916767,6.743300325462226,2631.9957066685133,1761.0700782494287,36372.022159130254,34.53992105809847,17434.637767467622,10.696212173672185,1712.5762758811716,1492.255314728897,302.8911432726266,1949.7707222491522
Mallat,9865.643773513262,788319.3292461615,2562.963587008717,1002.2350448138716,970.0631549042298,1065.6734862772582,996.870695718479,1.0,258.93949084766433,1893.8786627741933,17.336996253552815,58873.580262987285,31322.59337555242,38487.70030525308,41066.660690692064,3799.116507848615,19110.542330647622,48803.619029428366,5.094456730112113,6897.974055239945,4492.400652561707,78074.45098427474,144.75604986384522,50478.52508262161,28.063580958655905,5397.287941977382,4474.781817640194,1937.4448266435827,4554.851275859773
Meat,6726.45688964075,144453.69433180548,2877.518103252629,1070.6835569676832,622.3949017637746,614.1786050642193,1549.5852161181585,1.0,76.90737339281029,425.1995976559083,12.339805825242717,11966.823493396307,6818.573515262836,7092.1674101285735,6883.823580862414,810.026239832065,4757.016706026414,17084.123327210702,8.533018455348552,1625.2392198023267,1128.7287676025542,20982.08335519986,39.91375841861279,14016.062625732528,20.839324761654858,1109.5171870900026,1189.9790081343479,217.47345403656078,1095.8709000262397
MedicalImages,14359.783648891855,211119.81269110402,890.296171484465,815.0419593851137,793.5101990815086,424.90160589982725,740.4672991054539,1.0,68.3363291360338,413.4682344347937,4.984407005732253,3713.6913158772254,6386.3229591755735,3536.3103672769425,5635.689100782827,825.2998237451769,2520.731116121759,8124.802292900585,7.873509376439018,574.26148435143,582.1790256760406,7782.56239579529,23.89521571367325,3752.6291741429413,5.896589230989093,565.113962240183,628.4022738460072,334.7399209235118,566.9708464995158
MiddlePhalanxOutlineAgeGroup,13868.252376618882,99685.89037046295,451.96051089102224,253.93106398788663,239.16707053154195,244.7406585012104,228.44760398076477,1.0,23.072340759510706,68.41112693269349,3.4085593514895334,2051.6510892598862,1165.7114218121071,1806.461906737378,2483.2137371200483,134.86722577896376,645.9105719315162,1967.8519212010451,5.124432385159605,237.22231441096997,161.57895031898553,3053.8809718687285,6.867203354673782,2180.688022065501,3.6507753198264363,200.4496294386079,164.9676305373981,70.63745529157183,164.90505555617844
MiddlePhalanxOutlineCorrect,18659.470421637252,218239.8609555665,858.6257834624834,265.2532475347628,254.47100788724012,471.90736655038063,249.07540914919707,1.0,27.63576590228813,90.20447856525605,4.804175485616241,1660.5914185880497,2330.4590779866494,1487.6210377346677,2834.3611657294578,166.09897679311686,683.249990607036,2643.4036594987915,10.50216038173006,168.88853682668102,182.43609653462246,4675.156136110311,12.740052851077685,1615.9249940511231,7.070334514759478,182.21603817300587,184.8311395543978,89.70708980926022,184.3164677445615
MiddlePhalanxTW,38511.95522801656,169804.55789700832,840.8229470794819,645.1014259080422,632.733087752015,426.8654141339119,583.8221401531156,1.0,80.73405826285408,239.38156607790114,3.956964501467119,6740.213700784381,4333.341042901252,4922.688395374259,8265.736033599907,450.0895805764915,1871.0033561551882,4889.957789156742,9.450261780104713,787.8225073355962,629.7845923709797,9327.948871372953,13.486086339489479,6499.220508984906,5.2371363366127754,537.2394952342595,531.5207793951249,200.42151391366048,513.3826016915021
MoteStrain,21906.08400848227,218727.22977529516,778.449354515262,234.62563387400095,232.06980734997617,421.5425059662067,224.93740059139486,1.0,32.70003342511977,86.39870597036307,4.679071100004775,2466.8886545593455,1509.0720948000064,2008.1144094099668,2111.6195505117225,161.0248460056982,730.8812771579098,3228.0757636048193,8.625527241472616,294.1075254269661,201.22744998169577,4677.1454629379095,15.853088640234294,2396.242093367501,6.667762267814793,205.38208891081862,204.68909863593677,84.55479332134273,205.6965954128002
NonInvasiveFetalECGThorax1,7473.29721005086,534340.2384660027,2051.168224051118,2598.713601824466,2574.852961197617,2404.3647367238054,2480.5131183356593,1.0,882.3698760639801,8039.330403912567,10.525932383097949,245927.98018346567,190499.51470074305,165924.85092729895,268481.96051007864,15228.875849752505,75530.25605316002,215138.31035340627,4.32806814210488,26327.706536998176,18251.242603229013,297098.0874452832,218.0940833729869,221003.27764768375,14.120954605495676,19277.666002594426,18170.905170286158,7029.922998552732,18171.89019312064
NonInvasiveFetalECGThorax2,7044.099019198651,522523.7189334473,2351.7227078824203,2600.0685650668984,2704.64461744817,2906.4726429591155,2527.7972001227445,1.0,847.6229123218504,8340.678088839333,10.122761155947366,228897.77096825125,188910.45695045416,146949.34045738756,262524.2045293926,15509.29020483461,73509.45591636385,211558.57433896206,4.221299179467627,25714.360083921143,18248.570776453555,288771.9268722908,211.9802531114179,207149.8811133128,13.56475870263067,18440.263523571284,17811.895515475728,7132.701485854915,17876.008862943556
